manifest_path,dataset_dir,top_dataset,track_artifact,model_id,n_tracks,dim,max_seconds,window_count,n_errors,metadata_file,metadata_rows,n_columns,culture_unique,source_unique,top_cultures,top_sources
storage/public/research_dataset_v3/tracks_gemini_embedding2_v3_main_mw3.npz.manifest.json,storage/public/research_dataset_v3,research_dataset_v3,tracks_gemini_embedding2_v3_main_mw3.npz,gemini-embedding-2-preview,1122,768,30.0,3,0,storage/public/research_dataset_v3/metadata_v3_main_harmonized.csv,1122,22,10,8,turkey:150;china:145;modern_english_pop:120;india:108;germany:105,Free Music Archive:544;bilal63/turkish_music_emotion_dataset:150;vtsouval/mtg_jamendo_autotagging:120;saraga_hindustani:108;ccmusic-database/CTIS:65
storage/public/research_dataset_v4/main/tracks_culturemert_mw3.npz.manifest.json,storage/public/research_dataset_v4/main,research_dataset_v4,tracks_culturemert_mw3.npz,ntua-slp/CultureMERT-95M,1122,768,30.0,3,0,storage/public/research_dataset_v4/main/metadata_release.csv,1122,36,10,8,turkey:150;china:145;modern_english_pop:120;india:108;france:105,Free Music Archive:544;bilal63/turkish_music_emotion_dataset:150;vtsouval/mtg_jamendo_autotagging:120;saraga_hindustani:108;ccmusic-database/CTIS:65
storage/public/research_dataset_v4/main/tracks_gemini_embedding2_mw3.npz.manifest.json,storage/public/research_dataset_v4/main,research_dataset_v4,tracks_gemini_embedding2_mw3.npz,gemini-embedding-2-preview,1122,768,30.0,3,0,storage/public/research_dataset_v4/main/metadata_release.csv,1122,36,10,8,turkey:150;china:145;modern_english_pop:120;india:108;france:105,Free Music Archive:544;bilal63/turkish_music_emotion_dataset:150;vtsouval/mtg_jamendo_autotagging:120;saraga_hindustani:108;ccmusic-database/CTIS:65
storage/public/research_dataset_v4/routeA_small/tracks_culturemert_mw3.npz.manifest.json,storage/public/research_dataset_v4/routeA_small,research_dataset_v4,tracks_culturemert_mw3.npz,ntua-slp/CultureMERT-95M,640,768,30.0,3,0,storage/public/research_dataset_v4/routeA_small/metadata_release.csv,640,39,4,4,west:160;india:160;turkey:160;china:160,sanchit-gandhi/gtzan:160;neerajaabhyankar/hindustani-raag-small:160;bilal63/turkish_music_emotion_dataset:160;ccmusic-database/erhu_playing_tech:160
storage/public/research_dataset_v4/routeA_small/tracks_gemini_embedding2_mw3.npz.manifest.json,storage/public/research_dataset_v4/routeA_small,research_dataset_v4,tracks_gemini_embedding2_mw3.npz,gemini-embedding-2-preview,640,768,30.0,3,0,storage/public/research_dataset_v4/routeA_small/metadata_release.csv,640,39,4,4,west:160;india:160;turkey:160;china:160,sanchit-gandhi/gtzan:160;neerajaabhyankar/hindustani-raag-small:160;bilal63/turkish_music_emotion_dataset:160;ccmusic-database/erhu_playing_tech:160
storage/public/research_dataset_v4/routeA_small/tracks_gemini_embedding2_v4_smoke1_mw3.npz.manifest.json,storage/public/research_dataset_v4/routeA_small,research_dataset_v4,tracks_gemini_embedding2_v4_smoke1_mw3.npz,gemini-embedding-2-preview,1,768,30.0,3,0,storage/public/research_dataset_v4/routeA_small/metadata_release.csv,640,39,4,4,west:160;india:160;turkey:160;china:160,sanchit-gandhi/gtzan:160;neerajaabhyankar/hindustani-raag-small:160;bilal63/turkish_music_emotion_dataset:160;ccmusic-database/erhu_playing_tech:160
storage/public/research_dataset_v4/routeA_small_smoke/tracks_culturemert_mw3.npz.manifest.json,storage/public/research_dataset_v4/routeA_small_smoke,research_dataset_v4,tracks_culturemert_mw3.npz,ntua-slp/CultureMERT-95M,1,768,30.0,3,0,storage/public/research_dataset_v4/routeA_small_smoke/metadata_release.csv,640,39,4,4,west:160;india:160;turkey:160;china:160,sanchit-gandhi/gtzan:160;neerajaabhyankar/hindustani-raag-small:160;bilal63/turkish_music_emotion_dataset:160;ccmusic-database/erhu_playing_tech:160
storage/public/research_dataset_v4/routeA_small_smoke/tracks_gemini_embedding2_mw3.npz.manifest.json,storage/public/research_dataset_v4/routeA_small_smoke,research_dataset_v4,tracks_gemini_embedding2_mw3.npz,gemini-embedding-2-preview,,,30.0,3,0,storage/public/research_dataset_v4/routeA_small_smoke/metadata_release.csv,640,39,4,4,west:160;india:160;turkey:160;china:160,sanchit-gandhi/gtzan:160;neerajaabhyankar/hindustani-raag-small:160;bilal63/turkish_music_emotion_dataset:160;ccmusic-database/erhu_playing_tech:160
storage/public/routeA_phase1/tracks.npz.manifest.json,storage/public/routeA_phase1,routeA_phase1,tracks.npz,ntua-slp/CultureMERT-95M,72,768,6.0,1,0,storage/public/routeA_phase1/metadata_merged.csv,72,7,3,3,west:24;india:24;turkey:24,sanchit-gandhi/gtzan:24;neerajaabhyankar/hindustani-raag-small:24;bilal63/turkish_music_emotion_dataset:24
storage/public/routeA_phase2/tracks.npz.manifest.json,storage/public/routeA_phase2,routeA_phase2,tracks.npz,ntua-slp/CultureMERT-95M,480,768,6.0,1,0,storage/public/routeA_phase2/metadata_merged.csv,480,7,3,3,west:160;india:160;turkey:160,sanchit-gandhi/gtzan:160;neerajaabhyankar/hindustani-raag-small:160;bilal63/turkish_music_emotion_dataset:160
storage/public/routeA_phase2_cn/tracks.npz.manifest.json,storage/public/routeA_phase2_cn,routeA_phase2_cn,tracks.npz,ntua-slp/CultureMERT-95M,640,768,6.0,1,0,storage/public/routeA_phase2_cn/metadata_merged.csv,640,10,4,4,west:160;india:160;turkey:160;china:160,sanchit-gandhi/gtzan:160;neerajaabhyankar/hindustani-raag-small:160;bilal63/turkish_music_emotion_dataset:160;ccmusic-database/erhu_playing_tech:160
