path,category,flavor,tracked_status,top_level_keys,n_scalar_params,seed_keys,hardware_keys
configs/benchmark/recommender_benchmark_v3_culturemert_stage3_bprlistwise_tuned.run.json,benchmark,run,tracked,auto_synthesize_interactions;bootstrap_samples;bootstrap_seed;bpr;bpr_hybrid;bpr_listwise_hybrid;interactions;k;metadata;methods;minority_quantile;output_dir;permutation_samples;prefer_cuda;reference_method;suite_name;tracks,103,auto_synthesize_interactions.seed;bootstrap_seed;bpr.seed;bpr_hybrid.seed;bpr_listwise_hybrid.seed,prefer_cuda=True;bpr.prefer_cuda=True;bpr_hybrid.prefer_cuda=True;bpr_listwise_hybrid.prefer_cuda=True
configs/benchmark/recommender_benchmark_v3_culturemert_stage3_dcascal.run.json,benchmark,run,tracked,auto_synthesize_interactions;bootstrap_samples;bootstrap_seed;bpr;bpr_hybrid;interactions;k;metadata;methods;minority_quantile;output_dir;permutation_samples;prefer_cuda;reference_method;suite_name;tracks,88,auto_synthesize_interactions.seed;bootstrap_seed;bpr.seed;bpr_hybrid.seed,prefer_cuda=True;bpr.prefer_cuda=True;bpr_hybrid.prefer_cuda=True
configs/benchmark/recommender_benchmark_v3_culturemert_stage3_lambdamart.run.json,benchmark,run,local_or_ignored,auto_synthesize_interactions;bootstrap_samples;bootstrap_seed;bpr;bpr_hybrid;bpr_listwise_hybrid;bpr_tree_hybrid;interactions;k;metadata;methods;minority_quantile;output_dir;permutation_samples;prefer_cuda;reference_method;suite_name;tracks,127,auto_synthesize_interactions.seed;bootstrap_seed;bpr.seed;bpr_hybrid.seed;bpr_listwise_hybrid.seed;bpr_tree_hybrid.seed,prefer_cuda=True;bpr.prefer_cuda=True;bpr_hybrid.prefer_cuda=True;bpr_listwise_hybrid.prefer_cuda=True;bpr_tree_hybrid.prefer_cuda=True
configs/benchmark/recommender_benchmark_v3_culturemert_stage3_lightfmlike.run.json,benchmark,run,tracked,auto_synthesize_interactions;bootstrap_samples;bootstrap_seed;hybrid_weights;interactions;k;lightfm_like;metadata;methods;minority_quantile;mlp;output_dir;permutation_samples;prefer_cuda;reference_method;suite_name;tracks,104,auto_synthesize_interactions.seed;bootstrap_seed;mlp.seed;lightfm_like.seed,prefer_cuda=True;mlp.prefer_cuda=True;lightfm_like.prefer_cuda=True
configs/benchmark/recommender_benchmark_v3_culturemert_stage3_stronghybrid.run.json,benchmark,run,tracked,auto_synthesize_interactions;bootstrap_samples;bootstrap_seed;hybrid_weights;interactions;k;metadata;methods;minority_quantile;mlp;output_dir;permutation_samples;prefer_cuda;reference_method;strong_hybrid;suite_name;tracks,100,auto_synthesize_interactions.seed;bootstrap_seed;mlp.seed;strong_hybrid.seed,prefer_cuda=True;mlp.prefer_cuda=True;strong_hybrid.prefer_cuda=True
configs/benchmark/recommender_benchmark_v3_gemini.run.json,benchmark,run,local_or_ignored,auto_synthesize_interactions;bootstrap_samples;bootstrap_seed;hybrid_weights;interactions;k;metadata;methods;minority_quantile;mlp;output_dir;permutation_samples;prefer_cuda;reference_method;suite_name;tracks,58,auto_synthesize_interactions.seed;bootstrap_seed;mlp.seed,prefer_cuda=True;mlp.prefer_cuda=True
configs/benchmark/recommender_benchmark_v3_gemini_harmonized_open.run.json,benchmark,run,local_or_ignored,auto_synthesize_interactions;bootstrap_samples;bootstrap_seed;hybrid_weights;interactions;k;metadata;methods;minority_quantile;mlp;output_dir;permutation_samples;prefer_cuda;reference_method;suite_name;tracks,83,auto_synthesize_interactions.seed;bootstrap_seed;mlp.seed,prefer_cuda=True;mlp.prefer_cuda=True
configs/benchmark/recommender_benchmark_v3_gemini_open.run.json,benchmark,run,tracked,auto_synthesize_interactions;bootstrap_samples;bootstrap_seed;hybrid_weights;interactions;k;metadata;methods;minority_quantile;mlp;output_dir;permutation_samples;prefer_cuda;reference_method;suite_name;tracks,83,auto_synthesize_interactions.seed;bootstrap_seed;mlp.seed,prefer_cuda=True;mlp.prefer_cuda=True
configs/benchmark/recommender_benchmark_v4_main_culturemert_lambdamart.run.json,benchmark,run,tracked,auto_synthesize_interactions;bootstrap_samples;bootstrap_seed;bpr;bpr_hybrid;bpr_listwise_hybrid;bpr_tree_hybrid;interactions;k;metadata;methods;minority_quantile;output_dir;permutation_samples;prefer_cuda;reference_method;suite_name;tracks,127,auto_synthesize_interactions.seed;bootstrap_seed;bpr.seed;bpr_hybrid.seed;bpr_listwise_hybrid.seed;bpr_tree_hybrid.seed,prefer_cuda=True;bpr.prefer_cuda=True;bpr_hybrid.prefer_cuda=True;bpr_listwise_hybrid.prefer_cuda=True;bpr_tree_hybrid.prefer_cuda=True
configs/benchmark/recommender_benchmark_v4_main_culturemert_stage3_lambdamart.run.json,benchmark,run,tracked,bootstrap_samples;bootstrap_seed;bpr;bpr_hybrid;bpr_listwise_hybrid;bpr_tree_hybrid;interactions;k;lightfm_like;metadata;methods;minority_quantile;output_dir;permutation_samples;prefer_cuda;reference_method;suite_name;tracks,152,bootstrap_seed;lightfm_like.seed;bpr.seed;bpr_hybrid.seed;bpr_listwise_hybrid.seed;bpr_tree_hybrid.seed,prefer_cuda=True;lightfm_like.prefer_cuda=True;bpr.prefer_cuda=True;bpr_hybrid.prefer_cuda=True;bpr_listwise_hybrid.prefer_cuda=True;bpr_tree_hybrid.prefer_cuda=True
configs/benchmark/recommender_benchmark_v4_main_gemini_stage3_lambdamart.run.json,benchmark,run,tracked,bootstrap_samples;bootstrap_seed;bpr;bpr_hybrid;bpr_listwise_hybrid;bpr_tree_hybrid;interactions;k;lightfm_like;metadata;methods;minority_quantile;output_dir;permutation_samples;prefer_cuda;reference_method;suite_name;tracks,152,bootstrap_seed;lightfm_like.seed;bpr.seed;bpr_hybrid.seed;bpr_listwise_hybrid.seed;bpr_tree_hybrid.seed,prefer_cuda=True;lightfm_like.prefer_cuda=True;bpr.prefer_cuda=True;bpr_hybrid.prefer_cuda=True;bpr_listwise_hybrid.prefer_cuda=True;bpr_tree_hybrid.prefer_cuda=True
configs/benchmark/recommender_benchmark_v4_routeA_small_culturemert_lambdamart.run.json,benchmark,run,tracked,auto_synthesize_interactions;bootstrap_samples;bootstrap_seed;bpr;bpr_hybrid;bpr_listwise_hybrid;bpr_tree_hybrid;interactions;k;metadata;methods;minority_quantile;output_dir;permutation_samples;prefer_cuda;reference_method;suite_name;tracks,127,auto_synthesize_interactions.seed;bootstrap_seed;bpr.seed;bpr_hybrid.seed;bpr_listwise_hybrid.seed;bpr_tree_hybrid.seed,prefer_cuda=True;bpr.prefer_cuda=True;bpr_hybrid.prefer_cuda=True;bpr_listwise_hybrid.prefer_cuda=True;bpr_tree_hybrid.prefer_cuda=True
configs/benchmark/recommender_benchmark_v4_routeA_small_culturemert_stage3_lambdamart.run.json,benchmark,run,tracked,bootstrap_samples;bootstrap_seed;bpr;bpr_hybrid;bpr_listwise_hybrid;bpr_tree_hybrid;interactions;k;lightfm_like;metadata;methods;minority_quantile;output_dir;permutation_samples;prefer_cuda;reference_method;suite_name;tracks,152,bootstrap_seed;lightfm_like.seed;bpr.seed;bpr_hybrid.seed;bpr_listwise_hybrid.seed;bpr_tree_hybrid.seed,prefer_cuda=True;lightfm_like.prefer_cuda=True;bpr.prefer_cuda=True;bpr_hybrid.prefer_cuda=True;bpr_listwise_hybrid.prefer_cuda=True;bpr_tree_hybrid.prefer_cuda=True
configs/benchmark/recommender_benchmark_v4_routeA_small_gemini_stage3_lambdamart.run.json,benchmark,run,tracked,bootstrap_samples;bootstrap_seed;bpr;bpr_hybrid;bpr_listwise_hybrid;bpr_tree_hybrid;interactions;k;lightfm_like;metadata;methods;minority_quantile;output_dir;permutation_samples;prefer_cuda;reference_method;suite_name;tracks,152,bootstrap_seed;lightfm_like.seed;bpr.seed;bpr_hybrid.seed;bpr_listwise_hybrid.seed;bpr_tree_hybrid.seed,prefer_cuda=True;lightfm_like.prefer_cuda=True;bpr.prefer_cuda=True;bpr_hybrid.prefer_cuda=True;bpr_listwise_hybrid.prefer_cuda=True;bpr_tree_hybrid.prefer_cuda=True
configs/dataset/research_dataset_v4_main_from_v3.json,dataset,other,tracked,dataset_name;dataset_version;embeddings;harmonize;interaction_protocol;merge;root_out_dir;schema_version;sources;validation,81,interaction_protocol.single.seed;interaction_protocol.mixed.seed,
configs/dataset/research_dataset_v4_manifest.example.json,dataset,example,tracked,dataset_name;dataset_version;embeddings;harmonize;interaction_protocol;merge;reports_out_dir;root_out_dir;schema_version;sources;validation,57,interaction_protocol.single.seed;interaction_protocol.mixed.seed,
configs/dataset/research_dataset_v4_routeA_small.json,dataset,other,tracked,dataset_name;dataset_version;embeddings;harmonize;interaction_protocol;merge;root_out_dir;schema_version;sources;validation,63,interaction_protocol.single.seed;interaction_protocol.mixed.seed,
configs/embedding/culturemert_v3_main_multiwindow.run.json,embedding,run,tracked,device;limit;max_seconds;metadata;model_id;out;pooling;skip_errors;window_aggregate;window_count;window_strategy,11,,device=cuda
configs/embedding/culturemert_v3_main_multiwindow_layerweighted.example.json,embedding,example,tracked,device;layer_indices;layer_weights;limit;max_seconds;metadata;model_id;out;pooling;skip_errors;window_aggregate;window_count;window_strategy,19,,device=cuda
configs/embedding/gemini_embedding2_v2_alt_kazakhstan.example.json,embedding,example,tracked,api_key;api_key_file;cache_dir;dry_run;limit;max_seconds;metadata;model_id;out;output_dimensionality;skip_errors;target_sample_rate;task_type,13,,
configs/embedding/gemini_embedding2_v2_alt_kazakhstan.local.example.json,embedding,example,tracked,api_key;api_key_file;cache_dir;dry_run;limit;max_seconds;metadata;model_id;out;output_dimensionality;skip_errors;target_sample_rate;task_type,13,,
configs/embedding/gemini_embedding2_v2_main.api_fullrun.tmp.json,embedding,tmp,local_or_ignored,api_key;api_key_file;cache_dir;dry_run;limit;max_seconds;max_workers;metadata;model_id;out;output_dimensionality;skip_errors;target_sample_rate;task_type;vertex_location;vertex_project;vertexai,17,,max_workers=16;vertexai=False;vertex_project=None;vertex_location=None
configs/embedding/gemini_embedding2_v2_main.api_smoke.tmp.json,embedding,tmp,local_or_ignored,api_key;api_key_file;cache_dir;dry_run;limit;max_seconds;max_workers;metadata;model_id;out;output_dimensionality;skip_errors;target_sample_rate;task_type;vertex_location;vertex_project;vertexai,17,,max_workers=1;vertexai=False;vertex_project=None;vertex_location=None
