variant,n_runs,serendipity_mean,serendipity_ci95,cultural_calibration_kl_mean,cultural_calibration_kl_ci95,minority_exposure_at_k_mean,minority_exposure_at_k_ci95
VAE,3,0.8546786438402142,0.0012540688987910528,2.3761540739513616,8.452256645674339e-06,0.4061111111111111,0.0014619119056061738
beta-VAE,3,0.8540258067740775,0.0016902721696228542,2.376156388320773,9.84438447515856e-06,0.406375,0.0014517384214948767
FactorVAE,3,0.8465641195791602,0.008694052596398386,2.376186586961691,3.356875771201347e-06,0.42320833333333335,0.008760946856066099
DCAS,3,0.8316736901400404,0.007439024482846688,2.3760781439636305,1.1107842908471182e-05,0.42424999999999996,0.011766898054067394
