Suite,Method,Serendipity,Calibration_KL,Minority_at_k
V4 Main (CultureMERT),BPR-MF,0.5372616785779207,2.1138557933334794,0.16154166666666667
V4 Main (CultureMERT),BPR-2Stage,0.5605093003025627,2.100527171435394,0.26527083333333334
V4 Main (CultureMERT),BPR-Listwise,0.5671048575020833,2.0963945230746703,0.2775
V4 Main (CultureMERT),BPR-LM,0.5593675914128324,2.093686574772851,0.2723125
V4 Main (CultureMERT),DCAS-Cal,0.8110557967576578,2.049207427016869,0.3998125
V4 Main (CultureMERT),DCAS-Min,0.8075922131493775,2.0618796243640505,0.5060625
V4 Main (Gemini),Popularity,0.7576204119251421,2.3290537029780793,0.0
V4 Main (Gemini),Cosine,0.8517191970423068,2.33339189021999,0.23047916666666668
V4 Main (Gemini),KNN,0.8542488298438041,2.33376265270097,0.2245625
V4 Main (Gemini),LightFM,0.7666224697037811,2.333701007743259,0.1161875
V4 Main (Gemini),BPR-MF,0.774737807409225,2.3214217623454405,0.16452083333333334
V4 Main (Gemini),BPR-2Stage,0.7870007949647758,2.31963847945123,0.30254166666666665
V4 Main (Gemini),BPR-Listwise,0.7922040534858312,2.3178517884028853,0.2868125
V4 Main (Gemini),BPR-LM,0.7883640357313463,2.318281190470735,0.274625
V4 Main (Gemini),DCAS-OT,0.8542503418559114,2.32504313200185,0.19597916666666668
V4 Main (Gemini),DCAS-Cal,0.824492556321999,2.310405659135604,0.37597916666666664
V4 Main (Gemini),DCAS-Min,0.8208598428254904,2.3129104862101895,0.4799583333333333
RouteA (CultureMERT),Popularity,0.3865871045207907,1.1207042193855876,0.0
RouteA (CultureMERT),Cosine,0.4303718806716986,1.1607639461482033,0.212109375
RouteA (CultureMERT),KNN,0.44518172144596485,1.1741739531556707,0.24244791666666668
RouteA (CultureMERT),LightFM,0.38464013116056195,1.1485513080576648,0.11940104166666667
RouteA (CultureMERT),BPR-MF,0.48109339979331833,1.129262157435279,0.087890625
RouteA (CultureMERT),BPR-2Stage,0.50024520111353,1.126419236598676,0.17877604166666666
RouteA (CultureMERT),BPR-Listwise,0.5041031100018676,1.1199350046697276,0.1921875
RouteA (CultureMERT),BPR-LM,0.5017876630094839,1.1136285667018833,0.15729166666666666
RouteA (CultureMERT),DCAS-OT,0.8501348012966086,1.1439147723393892,0.302734375
RouteA (CultureMERT),DCAS-Cal,0.8406298893109097,1.0212990236108153,0.5095052083333333
RouteA (CultureMERT),DCAS-Min,0.8370797698636433,1.0747450573727704,0.6798177083333333
RouteA (Gemini),Popularity,0.6603375737081894,1.5805226461543351,0.0
RouteA (Gemini),Cosine,0.7901289721425497,1.5817551246121233,0.19140625
RouteA (Gemini),KNN,0.7880963249365048,1.5801360410401368,0.18424479166666666
RouteA (Gemini),LightFM,0.6844185520511162,1.5773079057797479,0.04609375
RouteA (Gemini),BPR-MF,0.7103953568122225,1.572263447167119,0.09583333333333334
RouteA (Gemini),BPR-2Stage,0.7279575329242957,1.5684985652937145,0.14518229166666666
RouteA (Gemini),BPR-Listwise,0.7331212743090125,1.5662716439255175,0.165625
RouteA (Gemini),BPR-LM,0.7266650412215804,1.567630324131713,0.15130208333333334
RouteA (Gemini),DCAS-OT,0.8605679910019578,1.5723317814597921,0.24231770833333333
RouteA (Gemini),DCAS-Cal,0.8641977005570803,1.5501961971476819,0.49973958333333335
RouteA (Gemini),DCAS-Min,0.8585719854067286,1.557353426480434,0.6528645833333333
