Variant,Serendipity,Minority_at_k,Delta_Serendipity,Delta_Minority_at_k,CI_Serendipity_half,CI_Minority_at_k_half
Full DCAS,0.868137914653374,0.47587499999999994,0.0,0.0,0.0,0.0
No Domain Loss,0.8669553625523777,0.48175,-0.0011825521009962703,0.005875000000000075,0.0024379105309468856,0.004604166666666666
No Constraints,0.851057208377471,0.412375,-0.017080706275902968,-0.06349999999999995,0.0024236957967589895,0.007357291666666675
No OT Alignment,0.8949946832946248,0.2680416666666666,0.02685676864125086,-0.20783333333333331,0.0022076694453253033,0.005522395833333332
