Variant,Serendipity,Minority_at_k,Delta_Serendipity,Delta_Minority_at_k,CI_Serendipity_half,CI_Minority_at_k_half
Full DCAS,0.8596897390960729,0.4526666666666667,0.0,0.0,0.0,0.0
No Domain Loss,0.8687690123690944,0.42470833333333335,0.009079273273021493,-0.027958333333333363,0.0020966249947664962,0.00925208333333333
No Constraints,0.8813893985511125,0.40279166666666666,0.0216996594550396,-0.04987500000000006,0.002466433518095114,0.007271354166666671
No OT Alignment,0.8852384399578335,0.18991666666666665,0.02554870086176053,-0.26275000000000004,0.0023302026737216652,0.008063541666666646
