variant,metric,delta,ci_low,ci_high
Remove Domain,serendipity,0.009079273273021415,0.0070193492947868115,0.011212599284319804
Remove Domain,cultural_calibration_kl,4.241210931295869e-05,4.0218150443455836e-05,4.487430599796325e-05
Remove Domain,minority_exposure_at_k,-0.027958333333333325,-0.037835416666666656,-0.019331249999999998
Remove Constraints,serendipity,0.02169965945503953,0.019327717407642945,0.024260584443833173
Remove Constraints,cultural_calibration_kl,-5.533968241429932e-05,-5.891358176206485e-05,-5.1831747457561e-05
Remove Constraints,minority_exposure_at_k,-0.049874999999999996,-0.05741770833333334,-0.042874999999999996
Remove OT,serendipity,0.025548700861760636,0.023163907045468172,0.027824312392911502
Remove OT,cultural_calibration_kl,0.00013496307010132287,0.00013185859047264956,0.0001382031862219834
Remove OT,minority_exposure_at_k,-0.26275,-0.2712927083333333,-0.255165625
