track_id,culture,audio_path,source_dataset,source_split,source_index,label,title,rights,source_url
2023846_medienarchiv_web_detailansicht_id_177009,germany,audio\2023846_medienarchiv_web_detailansicht_id_177009.mp3,europeana_search,search,0,,"Weserlied; Theodor Große-Venhaus, Lieder und Gespräche (Gesamtaufnahme) Lieder = HL 24",http://creativecommons.org/licenses/by-nc-sa/3.0/,https://www.europeana.eu/item/2023846/medienarchiv_web_detailansicht_id_177009?utm_source=api&utm_medium=api&utm_campaign=api2demo
2023846_medienarchiv_web_detailansicht_id_178037,germany,audio\2023846_medienarchiv_web_detailansicht_id_178037.mp3,europeana_search,search,1,,"Zwischen Weserbergen und Steinhuder Meer; Handschriftliches Liederbuch Nr. 23 - Lieder, gesungen von Anna Dreier, Hülshagen, Lied Nr. 35",http://creativecommons.org/licenses/by-nc-sa/3.0/,https://www.europeana.eu/item/2023846/medienarchiv_web_detailansicht_id_178037?utm_source=api&utm_medium=api&utm_campaign=api2demo
