method,serendipity_mean,cultural_calibration_kl_mean,minority_exposure_at_k_mean
popularity,0.6603375737081894,1.5805226461543351,0.0
cosine,0.7901289721425497,1.5817551246121233,0.19140625
knn,0.7880963249365048,1.5801360410401368,0.18424479166666666
lightfm_like,0.6844185520511162,1.5773079057797479,0.04609375
bpr_mf,0.7103953568122225,1.572263447167119,0.09583333333333334
bpr_two_stage_hybrid,0.7279575329242957,1.5684985652937145,0.14518229166666666
bpr_listwise_hybrid,0.7331212743090125,1.5662716439255175,0.165625
bpr_lambdamart_hybrid,0.7266650412215804,1.567630324131713,0.15130208333333334
dcas_full_ot,0.8605679910019578,1.5723317814597921,0.24231770833333333
dcas_full_ot_calibrated_target,0.8641977005570803,1.5501961971476819,0.49973958333333335
dcas_full_ot_calibrated_minor,0.8585719854067286,1.557353426480434,0.6528645833333333
