method,serendipity_mean,cultural_calibration_kl_mean,minority_exposure_at_k_mean
popularity,0.5014640336756042,2.1734106387855205,0.0
cosine,0.6333239233650717,2.23337650229708,0.22066666666666668
knn,0.6445218086156944,2.234130475144749,0.21306250000000002
lightfm_like,0.5026620134290561,2.185022594562701,0.133625
bpr_mf,0.5372903401489694,2.114677704870059,0.164625
bpr_two_stage_hybrid,0.5680538342758051,2.10448631227264,0.29433333333333334
bpr_listwise_hybrid,0.5613998657591371,2.095752783359745,0.27829166666666666
bpr_lambdamart_hybrid,0.5558271027724089,2.0965806578046946,0.26808333333333334
dcas_full_ot,0.8578608207929557,2.082580737495161,0.24602083333333333
dcas_full_ot_calibrated_target,0.8315641066075367,2.029637808269883,0.4023333333333333
dcas_full_ot_calibrated_minor,0.8281576284503037,2.0477411034604738,0.5302708333333334
