变体,惊喜度_均值,惊喜度_标准差,文化校准KL_均值,文化校准KL_标准差,少数群体曝光率@k_均值,少数群体曝光率@k_标准差
完整模型,0.8596897390960729,0.03514025862479516,2.37587861922586,0.00010336768109058203,0.45266666666666666,0.22727462890618572
移除领域知识,0.8687690123690943,0.035219485390329534,2.3759210313351735,8.832391040367046e-05,0.42470833333333324,0.13419643173969517
移除约束,0.8813893985511125,0.04022214465196748,2.3758232795434457,0.0001305717742657826,0.4027916666666667,0.20551722099376488
移除最优传输,0.8852384399578336,0.011798450057803988,2.3760135822959616,0.00010975244733976983,0.18991666666666668,0.12549136756499762
