method,serendipity_mean,cultural_calibration_kl_mean,minority_exposure_at_k_mean
dcas_full_ot,0.8501348012966086,1.1439147723393892,0.302734375
dcas_ot_cal_p1,0.8377972827543051,1.013613347085827,0.4373697916666667
dcas_ot_cal_p2_target,0.8406298893109097,1.0212990236108153,0.5095052083333333
dcas_ot_cal_p3_balanced,0.8384035804985168,1.0435748159092122,0.5794270833333334
dcas_ot_cal_p4_minor,0.8370797698636433,1.0747450573727704,0.6798177083333333
dcas_ot_cal_p5_ultra_minor,0.83845432359516,1.0895369249341367,0.7528645833333333
