method,serendipity_mean,cultural_calibration_kl_mean,minority_exposure_at_k_mean
dcas_full_ot,0.8605679910019578,1.5723317814597921,0.24231770833333333
dcas_ot_cal_p1,0.8667287657046964,1.5486355631249957,0.4359375
dcas_ot_cal_p2_target,0.8641977005570803,1.5501961971476819,0.49973958333333335
dcas_ot_cal_p3_balanced,0.8619872644535952,1.5534537154589554,0.5686197916666667
dcas_ot_cal_p4_minor,0.8585719854067286,1.557353426480434,0.6528645833333333
dcas_ot_cal_p5_ultra_minor,0.8566134366839715,1.5594957960012816,0.7084635416666667
