套件,DCAS最优,最佳基线,流行度,增益vs最佳基线,增益vs流行度
V2 CultureMERT,0.8379375279818566,0.7242404753717118,0.6006202852051664,0.11369705261014484,0.2373172427766902
V3 CultureMERT,0.8136768707955625,0.7685017015674156,0.6435098250406677,0.045175169228146905,0.17016704575489483
V4 CultureMERT,0.8578608207929557,0.6445218086156944,0.5014640336756042,0.21333901217726126,0.35639678711735145
V2 Gemini,0.8324788929065824,0.8978959200814904,0.8315062466848145,-0.06541702717490805,0.0009726462217678478
V3 Gemini,0.7890599065174986,0.9061722995544376,0.8056565277417658,-0.11711239303693899,-0.016596621224267194
V4 Gemini,0.8542503418559114,0.8542488298438041,0.7576204119251421,1.5120121072964565e-06,0.09662992993076935
